order,government_type,style,type,parent,name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
46,state_local,,row,43,Insurance,3.29,3.61,3.88,4.09,4.01,4.2,4.37,4.44,4.49,4.64,4.76,4.91
47,state_local,,row,43,Retirement and Savings,1.36,1.46,1.58,1.75,1.9,1.99,2.08,2.17,2.3,2.49,2.69,2.87
48,state_local,,row,43,Legally Required Benefits,1.5,1.55,1.59,1.63,1.66,1.71,1.75,1.86,1.86,1.86,1.89,1.92
49,state_local,,row,43,Other Benefits,0.03,0.04,0,0,0,0,0,0,0,0,0,0
50,state_local,,data_table,,Professional and related occupations,,,,,,,,,,,,
51,state_local,,total_row,50,Total Compensation (per hour worked),41.86,43.52,45.75,46.87,46.71,47.75,47.71,48.36,49.3,50.65,51.68,52.82
52,state_local,,row,50,Wages and Salaries,30.42,31.35,32.68,32.99,31.93,32.66,32.72,33.08,33.55,34.25,34.76,35.32
53,state_local,,row,50,Benefits,11.44,12.18,13.08,13.87,14.79,15.09,14.99,15.28,15.76,16.41,16.92,17.51
54,state_local,,row,53,Paid Leave,2.52,2.59,2.94,3.03,3.54,3.35,3.05,3.02,3.04,3.13,3.16,3.19
55,state_local,,row,53,Supplemental Pay,0.19,0.2,0.2,0.22,0.25,0.24,0.23,0.23,0.24,0.25,0.26,0.26
56,state_local,,row,53,Insurance,3.88,4.2,4.51,4.81,4.84,5.05,5.29,5.4,5.52,5.63,5.64,5.78
57,state_local,,row,53,Retirement and Savings,2.48,2.71,2.94,3.26,3.56,3.81,3.74,3.89,4.18,4.58,5.04,5.44
58,state_local,,row,53,Legally Required Benefits,2.31,2.42,2.51,2.55,2.6,2.65,2.68,2.73,2.79,2.83,2.82,2.85
59,state_local,,row,53,Other Benefits,0.06,0.06,0,0,0,0,0,0,0,0,0,0
