order,government_type,style,type,footnote,data_table,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
35,combined,,row,,Number of Employees,Education Total ,Education - Elementary and Secondary Total ,4867824,4814457,4754521,4789394,4970284,4993711,5089594,5241516,5287036,5375421,5572326,5669201,5599877,5834396,6184025,6252101,na,6408365,6652474,6787656,7011176,7115704,7242470,7480478,7540638,7651445,7823316,7875373,7916045,7981998,7913461,7800203,7710553,7637199,7660776
36,combined,,row,,Number of Employees,Education - Elementary and Secondary Total ,Education - Elementary and Secondary Instructional             ,3163551,3122542,3098579,3148952,3216818,3306016,3374552,3442341,3499948,3564640,3739506,3802485,3782055,3890635,4155809,4208390,na,4320463,4487767,4585637,4739152,4828859,4914775,5062048,5083219,5169097,5274378,5310152,5365784,5409086,5380014,5308748,5251562,5220178,5216004
37,combined,,row,,Number of Employees,Education - Elementary and Secondary Total ,Education - Elementary and Secondary Other ,1704273,1691915,1655942,1640442,1753466,1687695,1715042,1799175,1787088,1810781,1832820,1866716,1817822,1943761,2028216,2043711,na,2087902,2164707,2202019,2272024,2286845,2327695,2418430,2457419,2482348,2548938,2565221,2550261,2572912,2533447,2491455,2458991,2417021,2444772
38,combined,,row,,Number of Employees,Education Total ,Education - Higher Education Total ,1867755,1853825,1879322,1908376,1953508,2010510,2049031,2057110,2122329,2203347,2277706,2297290,2243313,2410487,2430056,2414087,na,2450998,2516608,2589204,2612967,2679161,2787039,2803824,2830369,2860960,2896256,2939646,3001186,3095174,3121257,3168832,3179216,3173631,3216459
39,combined,,row,,Number of Employees,Education - Higher Education Total ,Education - Higher Education Instructional,654518,644854,646806,659023,683868,695859,704025,719396,749050,773319,804758,816031,788225,849655,858913,860326,na,869796,891678,920102,926914,947739,980877,990031,1005503,1014448,1043977,1045030,1065122,1100627,1111055,1135438,1133807,1118376,1132184
40,combined,,row,,Number of Employees,Education - Higher Education Total ,Education - Higher Education Other ,1213237,1208971,1232516,1249353,1269640,1314651,1345006,1337714,1373279,1430028,1472948,1481259,1455088,1560832,1571143,1553761,na,1581202,1624930,1669102,1686053,1731422,1806162,1813793,1824866,1846512,1852279,1894616,1936064,1994547,2010202,2033394,2045409,2055255,2084275
41,combined,,row,,Number of Employees,Education Total ,Education - Other,124192,117357,111371,109865,113473,115009,114702,113414,115195,119166,121393,119479,119818,127390,121422,129244,na,110655,117945,120762,125278,125812,119216,111824,106578,107524,108726,109608,111262,105543,104461,103754,103905,103164,102025
42,combined,,row,,Number of Employees,Secure the Blessings of Liberty to Ourselves and Our Posterity,Libraries                          ,96561,94410,98463,98512,112398,117838,121386,121674,127869,131222,136935,136740,138471,139772,152998,152051,na,160235,164194,171064,178290,184979,184397,187762,186375,188448,190642,192503,199395,198717,192454,188196,184655,189266,188533
43,combined,,row,,Number of Employees,Secure the Blessings of Liberty to Ourselves and Our Posterity,Parks and Recreation,219413,220139,258189,249409,272716,284935,289679,291604,313709,319558,335906,341590,344544,362132,373033,386793,na,354155,369509,366791,388508,395855,403072,408047,409383,414414,422843,432026,433133,433319,432362,420364,417139,425281,434078
44,combined,,row,4,Number of Employees,Secure the Blessings of Liberty to Ourselves and Our Posterity,Social Insurance Administration (federal),0,0,90000,0,84103,82936,78559,72461,70550,68509,67342,69697,68787,67961,68637,68393,na,69253,67437,66546,65479,65528,66276,67982,67048,67625,65218,63690,65620,64954,68757,70754,67162,65710,62708
45,combined,,row,,Number of Employees,Secure the Blessings of Liberty to Ourselves and Our Posterity,Natural Resources,518539,498194,441988,449963,440183,443463,429561,434404,422388,420998,427240,433114,452553,429261,429328,421403,na,396629,389905,390628,394547,399905,401959,401949,399986,395890,394299,390525,391702,384186,384793,381477,370818,365941,361772
46,combined,subtotal,row,,Number of Employees,Number of Employees,General Government and Other,2064570,1942595,1396128,1652251,1429349,1418787,1451779,1549927,1542397,1541710,1590247,1581338,1673974,1574323,1629081,1629323,na,1618855,1613684,1727265,1936501,1753960,1647874,1690528,1704598,1728891,1764614,1674604,1762405,1732760,1854774,1624676,1661116,1652641,1665885
47,combined,,row,,Number of Employees,General Government and Other,Financial Administration,426416,425799,402348,413941,428674,438255,448646,444500,482652,473490,488189,507917,475511,492322,518664,519726,na,533075,531717,549118,558157,564185,558412,538006,541139,541284,549039,540958,562015,554375,548031,541840,534257,539974,544976
48,combined,,row,,Number of Employees,General Government and Other,Other Government Administration,620330,602163,325073,384889,357412,371955,378997,299440,399106,370334,388424,395465,324750,369203,396973,436268,na,405965,416867,462505,498655,514166,447072,475795,483974,493792,512483,448382,484878,434889,423188,403239,440866,432926,437065
49,combined,,row,,Number of Employees,General Government and Other,All other and unallocable,1017824,914633,668707,853421,643263,608577,624136,805987,660639,697886,713634,677956,873713,712798,713444,673329,na,679815,665100,715642,879689,675609,642390,676727,679485,693815,703092,685264,715512,743496,883555,679597,685993,679741,683844
50,combined,memo,data_table,,,,Memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,combined,subtotal,row,5,Memo,Memo,Memo: Employees of Government-run Businesses (Estimate),2481572,2474167,2473714,2491549,2517294,2550905,2600252,2604201,2678815,2682822,2708525,2706637,2674557,2670767,2740208,2751915,na,2669844,2632413,2673938,2669948,2672949,2637612,2596838,2603193,2609916,2611626,2686018,2668207,2643647,2571342,2508048,2477719,2462441,2478488
53,combined,,footnotes,,,,Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,combined,,footnote,1,,Footnotes,1) Employment as of March of each year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,combined,,footnote,2,,Footnotes,"2) Active duty military are as of September of each year, reserves are not included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,combined,,footnote,3,,Footnotes,3) Civilian Military Employees are included in National Defense and International Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,combined,,footnote,4,,Footnotes,"4) At the federal level, Social Insurance Administration employees are primarily those responsible for administering Social Security and Medicare and therefore have been allocated to 'Secure the Blessings of Liberty.' State and local Social Insurance Administration employees administer unemployment and job services and therefore are allocated to 'promote the general welfare'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,combined,,footnote,5,,Footnotes,"5) Some government-run businesses will not be included in the estimate due to limited data granularity.  Amtrak, for example, cannot be disaggregated from all federal transit employees and therefore is not included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
