order,government_type,style,type,data_table,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
11,combined,,row,Revenue,Social Security,Retirement,97607697,119016123,124246445,130506498,152163541,172110010,185125526,197552022,224052691,244721652,259617763,270388319,278317434,287224064,308089951,289300000,316932000,342044000,364627000,389705000,418212000,440811000,448132000,456013000,466181000,502998000,530006000,553415000,573750000,571228000,552761000,496591000,500114000,589375000,642244000
12,combined,,row,Revenue,Social Security,Disability,16805258,12589497,20866449,18591789,15955407,16569471,17959784,19149374,21509199,23466611,27104626,28907081,29847328,30785653,33008139,67919000,56528000,56129000,57942000,61884000,70000000,74609000,76067000,77431000,79165000,85419000,90001000,93973000,97433000,97007000,93862000,84296000,84979000,100067000,109058000
13,combined,,row,Revenue,Payroll Taxes,Railroad Retirement,2322877,2457238,2917475,2804784,3321050,3604883,3498038,3633923,3742809,3797284,3679227,3798927,3956741,3781142,3722269,3942000,3872000,4051000,4352000,4144000,4338000,4272000,4177000,3953000,4026000,4120000,4232000,4261000,4433000,4213000,4139000,4238000,4283000,4901000,5357000
14,combined,,row,Revenue,Payroll Taxes,Medicare,23465569,30671920,34698279,36695215,41567575,46319507,52939476,57692391,61663468,67316730,70601937,74958383,81345902,83517522,92421573,98412000,107306000,113105000,122295000,134773000,138157000,152353000,151962000,150235000,153839000,169370000,180833000,188446000,197690000,194598000,184110000,192515000,205236000,213448000,228159000
15,combined,,row,Revenue,Payroll Taxes,Unemployment Insurance,15335788,15762948,16636388,19046634,25307220,26099814,24389574,25860241,24799893,22254272,21952439,21261062,24154471,27520766,28770505,29538000,29183000,28804000,27992000,26883000,28037000,28244000,28067000,33992000,40197000,42775000,44248000,41847000,40249000,38959000,46051000,57650000,68034000,57964000,55955000
16,combined,,row,Revenue,Tax Revenue,Corporate Income Taxes,77921004,75280633,64235295,51279213,73691070,80482876,83137452,106350397,118171536,129217000,117073020,120328267,124140815,143937474,168704241,188409814,203833111,216113422,223088615,218602371,243347903,186371152,176195862,163147064,223086793,321537712,406995748,431197942,361576891,184508861,235544796,229506906,291222513,326414727,375290763
17,combined,,row,Revenue,Tax Revenue,Sales and Excise Taxes,104255744,126810563,129923712,135546701,151458769,162367394,167923108,176548160,191679199,200721791,213229959,227972348,243296164,257706083,278853100,294752397,302961062,318658150,332556406,361406942,378154792,386448988,391111506,405310567,430881946,457360166,491695525,505538533,517278957,496611330,502479729,536360488,555605283,579245236,610736126
18,combined,,row,Revenue,Sales and Excise Taxes,General Sales,51327616,55641390,60573300,64889896,75211609,84295648,90694713,96602538,105237831,112673222,121286594,125448814,131978309,138822010,149039888,160166175,169072372,178746275,188752895,200626752,215112414,223428227,222986687,229222301,245342513,262951838,285829129,300601232,304739498,291300296,288499186,304668034,314135839,327036761,347183136
19,combined,,row,Revenue,Sales and Excise Taxes,Selective Sales (Excise),52928128,71169173,69350412,70656805,76247160,78071746,77228395,79945622,86441368,88048569,91943365,102523534,111317855,118884073,129813212,134586222,133888690,139911875,143803511,160780190,163042378,163020761,168124819,176088266,185539433,194408328,205866396,204937301,212539459,205311034,213980543,231692454,241469444,252208475,263552990
20,combined,,row,Revenue,Tax Revenue,Property Taxes,68498743,74969444,82067442,89104863,96456745,103756624,111709287,121202638,132212301,142400237,155613321,167999489,180320503,189743930,197141008,203451246,209440794,218760306,230150058,239671604,249177604,263689177,279191478,296683185,317941413,335779002,364558999,388905357,409539657,434818264,443947292,445771236,447120120,453052504,466391552
21,combined,,row,Revenue,Tax Revenue,Estate and Gift Taxes,8424749,9015505,10340687,8598008,8236513,8750004,9493090,10561772,10868650,12255511,15355563,15448646,15629068,17274195,20278546,19684289,22541273,25785439,31047125,35301383,37044202,35950511,34017323,28674248,30589175,30185759,32837948,31162279,34193697,28401680,23038376,12209811,18844614,24096122,24310825
22,combined,,row,Revenue,Tax Revenue,Severance Taxes,4167399,6379191,7829520,7405553,7266418,7211178,6125394,4050098,4330890,4144152,4682531,5366911,4647479,4907971,4298003,4467629,4115529,4867898,4165773,3135150,4368012,6408733,4233989,5321561,6362179,8176588,10567667,11141705,17887975,13490468,11479671,14714276,17376037,16569866,17869250
23,combined,,row,Revenue,Tax Revenue,Customs Duties,7173836,8082808,8854093,8654732,11370044,12078567,13326653,15085039,16198125,16333533,16707311,15949168,17359439,18802080,20098865,19301000,18670000,17928000,18297000,18336000,19914000,19369000,18602000,19862000,21083000,23379000,24810000,26010000,27568000,22453000,25298000,29519000,30307000,31815000,33926000
24,combined,,row,Revenue,Tax Revenue,Licenses,9078807,9904838,10530741,11117117,12402129,14326555,15494400,16596116,17673687,18415462,19634702,20225962,22466000,24182294,25047834,27210725,28333996,29293738,30906539,31727532,33927319,34197890,36716191,37269481,41255979,56809940,61403130,63744902,65978268,64356905,64614156,66317275,69701116,71371532,68015921
25,combined,,row,Revenue,Tax Revenue,Other Taxes,5642519,5843830,5831561,6255641,8197424,9280797,10295607,12221569,12828387,13259574,13933570,13560856,14193694,15127531,17272974,18081953,18127747,19687161,23493196,26539303,28287054,29734887,32626638,36025868,42216371,36207327,39258985,37763804,34730078,28460437,29513224,30533733,33615522,35795848,38195512
26,combined,,row,Revenue,Revenue,Non-Tax Revenue,43385823,56962963,61132779,73814291,79041615,88741067,107695343,120317622,104006738,109090143,127681165,116435718,145243963,145192873,148012798,169536400,205454469,252058538,299048948,294405106,347224333,179919201,43300000,196927588,442159969,399411978,446363434,653897031,115838824,-432995386,558942916,706245957,337325824,621032287,806005102
27,combined,,row,Revenue,Non-Tax Revenue,Sales of Government Resources,8265509,16299441,14280727,20549127,19611764,20581933,21256377,23823652,9111196,7730230,8488576,8725860,7446407,8203459,8130730,15795469,9690514,23310251,20364909,12087440,13547982,18996913,14192566,14717791,16188321,20075120,21357858,38039530,39577412,39796688,21903058,26527432,38360913,30597512,28430919
28,combined,,row,Revenue,Non-Tax Revenue,Federal Reserve Earnings,11767143,12833713,15185696,14492350,15683846,17058986,18373909,16816623,17163237,19604126,24319216,19158322,22920445,14908084,18022729,23378000,20477000,19636000,24540000,25917000,32293000,26124000,23683000,21878000,19652000,19297000,29945000,32043000,33598000,34318000,75863000,82729000,82468000,76320000,99875000
29,combined,,row,Revenue,Non-Tax Revenue,Earnings (Losses) on Investments,14031154,17240949,20233222,27416969,30610640,36285574,50888782,59605976,57234466,58979925,70279883,61496254,80548468,86823768,86148733,91445381,133003671,163630677,202869262,202892663,237185135,65366063,-70639641,76243075,319821409,268012830,295140122,477666015,-65516951,-617535968,351703928,485354988,97715350,388306592,538987532
30,combined,,row,Revenue,Non-Tax Revenue,Other Non-Tax Revenues,9322017,10588860,11433134,11355845,13135365,14814574,17176275,20071371,20497839,22775862,24593490,27055282,34328643,35257562,35710606,38917550,42283284,45481610,51274777,53508003,64198216,69432225,76064075,84088722,86498239,92027028,99920454,106148486,108180363,110425894,109472930,111634537,118781561,125808183,138711651
