order,government_type,style,type,data_table,parent,name,footnote,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
54,state_local,,row,Spending By Mission,Sustainability and Self-Sufficiency,Energy - Gas and Electric Utilities (Govt. Business - net of revenues),,1983966,2216364,1708481,1122151,-175766,-603633,629495,-1226990,-2575341,-3538754,-3832537,-4764614,-4262831,-5046003,-5189453,-5754958,-6652537,-6401882,-6715744,-7625171,-7634397,-642368,-3546137,-4599194,-1371072,-4925850,-3762181,-2284722,-1273401,-2221545,-3485174,-3750466,-5148262,-5191609,-6682265
55,state_local,,row,Spending By Mission,Sustainability and Self-Sufficiency,Environment and Natural Resources,,18670189,20565108,20344221,20451914,19304710,20876905,23223562,26404465,27208034,28844238,31687053,34691881,34099498,33822476,31438965,34794028,34380285,37611396,38941015,40624029,44250821,48454306,53157357,54135122,56382786,64533979,67505912,78621982,82023041,87078311,80537810,75250296,68211890,62617158,52509304
56,state_local,,row,Spending By Mission,Environment and Natural Resources,Sewerage and Waste Management (Govt. Business - net of revenues),,8341230,9195961,8560298,8143290,7642469,7824794,8333331,9495297,10196274,10610364,10805485,11409979,11249244,12311045,9154626,10213734,9278426,10098444,9430530,9412339,10724713,9922620,12004103,11926725,13397142,13459669,14445095,16243556,16991980,17985610,16410439,15415085,11980227,8964158,5859147
57,state_local,,row,Spending By Mission,Environment and Natural Resources,Water Utilities (Govt. Business - net of revenues),,1440828,1722163,1660730,1428280,447131,508053,952585,1696942,1096065,1019580,1522909,2455623,2089384,578261,295709,543110,-396673,223742,338715,782042,625076,1258363,2296164,3352783,3105898,3566383,2667558,4990622,4262671,6572650,4775891,2142024,-471360,-1887657,-1835919
58,state_local,,row,Spending By Mission,Environment and Natural Resources,Other Environmental and Natural Resources,,8888131,9646984,10123193,10880344,11215110,12544058,13937646,15212226,15915695,17214294,19358659,20826279,20760870,20933170,21988630,24037184,25498532,27289210,29171770,30429648,32901032,37273323,38857090,38855614,39879746,41906655,44764332,51731223,55084154,56808161,53611936,51925988,50908170,49718150,48486076
59,state_local,,row,Spending By Mission,Sustainability and Self-Sufficiency,Agriculture,,1762502,1989315,2165682,2269488,2368692,2572956,2786168,2988594,3010051,3241643,3531681,3635682,3653091,3749822,3795151,3866808,3993407,4119720,4387033,4645913,5456274,5637629,5503864,5591353,5573618,5601272,5628927,5656581,5684236,5711890,5739544,5767199,5794853,5822507,5860789
60,state_local,,row,Spending By Mission,Secure the Blessings of Liberty to Ourselves and Our Posterity,Wealth and Savings,,21717089,24939869,28165321,37845549,48858294,53088779,61424894,72970371,69180271,69897782,73902386,80722143,38988386,48067627,51681852,53378032,58268864,61893769,68307987,74219024,82702865,82236509,106634092,126804008,139982854,140851963,143893914,140987349,162844207,197140317,225971893,247838727,262038131,276038101,285635054
61,state_local,,row,Spending By Mission,Wealth and Savings,Obligations,,21717089,24939869,28165321,37845549,48858294,53088779,61424894,72970371,69180271,69897782,73902386,80722143,38988386,48067627,51681852,53378032,58268864,61893769,68307987,74219024,82702865,82236509,106634092,126804008,139982854,140851963,143893914,140987349,162844207,197140317,225971893,247838727,262038131,276038101,285635054
62,state_local,,row,Spending By Mission,Obligations,Employee Retirement and Disability Benefits,,16725998,18650130,21316508,23162124,26093110,29195532,31651311,35555474,38786642,42131706,46821905,52023117,57327293,63397702,66838500,72135714,79241399,83204583,90621254,95949025,106581171,116556397,128596440,141716972,154564283,165886533,175982997,184916909,199632225,210904021,223659874,239017752,249507210,263675303,276557940
63,state_local,,row,Spending By Mission,Obligations,Offset for Government Employee Contributions for Retirement and Disability,,-10335303,-10894517,-11887489,-12528720,-12913795,-14047155,-15758488,-17725324,-19420311,-21251402,-22848992,-26481732,-27760841,-29326048,-30964392,-31723411,-32123809,-31795676,-31493901,-33299480,-33887563,-38771656,-41734573,-45536446,-54665833,-57439174,-57688305,-58153090,-56337574,-59356093,-57799064,-58372058,-61699123,-62272034,-64260027
64,state_local,,row,Spending By Mission,Obligations,Interest on Debt (net of interest on investments),,15326394,17184256,18736302,27212145,35678979,37940402,45532071,55140221,49813940,49017478,49929473,55180758,9421934,13995973,15807744,12965729,11151274,10484862,9180634,11569479,10009257,4451768,19772225,30623482,40084404,32404604,25599222,14223530,19549556,45592389,60111083,67193033,74230044,74634832,73337141
65,state_local,,row,Spending By Mission,Spending By Mission,General Government,1,33490017,36047905,36321833,36125794,38891922,42895231,46789058,51030336,53109075,56919626,61059762,65282138,66757855,68898275,70736640,75526320,75227274,82143509,85160967,94425013,102791222,112524167,120882962,118239247,119089366,122609628,131804808,148596531,151893372,156733765,158039258,154779816,148651663,145235828,154342431
66,state_local,,total_row,Spending By Mission,Spending By Mission,Total Spending (Net Expenditures),,331647901,365432410,388040231,418635720,454283466,497234344,546848656,596538937,628741437,671548374,734258445,801421255,826981477,871281434,911311398,972077211,1004883341,1055649251,1116530042,1194605774,1294773012,1401564744,1521880158,1600905069,1692976424,1774697556,1842541292,1968810369,2103505224,2216653378,2271068664,2309791678,2336460149,2368224105,2452304801
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,state_local,,data_table,,,Memo: Alternative Categorization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,state_local,subtitle,row,Memo: Alternative Categorization,Memo: Alternative Categorization,Memo: Alternative Categorization Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,state_local,,row,Memo: Alternative Categorization,Memo: Alternative Categorization Totals,All Health Expenditures,,34369350,38318447,42139862,45690750,49656035,54355149,58569490,63899174,71422923,79050251,90946539,107452133,144805389,156995372,169007770,180987182,183765546,190559028,196340693,207887426,227722209,249129191,274984941,300478190,330317793,357618857,363634777,378628374,404075129,428857925,451283402,485616391,492310970,521140233,550066527
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,state_local,,footnotes,,,Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,state_local,,footnote,,Footnotes,"Includes activities that support government or cannot be classified in other categories, such as funding for Congress and state legislatures, the office of the President, facilities maintenance and operation, and archives, among others.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
