order,government_type,style,type,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
52,combined,,row,50,Gross Expenditure,15179898,18150836,20406702,21991941,22939436,24736745,26766490,26416311,26569365,27577734,28479073,28737511,30134672,30272872,32330681,32460106,32618750,33603962,35284838,37508437,38755683,55405654,56619417,54729875,61915157,61167632,70537896,76675437,80277198,85417520,81226001,81055016,77754316,76992687,78728456,
53,combined,,row,25,Sewerage and Waste Management,8341230,9195961,8560298,8143290,7642469,7824794,8333331,9495297,10196274,10610364,10805485,11409979,11249244,12311045,9154626,10213734,9278426,10098444,9430530,9412339,10724713,9922620,12004103,11926725,13397142,13459669,14445095,16243556,16991980,17985610,16410439,15415085,11980227,8964158,5859147,
54,combined,,row,53,Gross Revenue,4873128,5702259,6379916,7460173,8582616,9573170,10808525,12152043,13482319,15162242,17647179,19603637,22138875,23302495,26510023,28359168,30086323,31450879,32334199,33634500,34536130,36795705,38304453,39796335,41894713,44480065,47638107,50628073,53385630,57165935,59209331,61739244,64121075,65810825,68641825,
55,combined,,row,53,Gross Expenditure,13214358,14898220,14940214,15603463,16225085,17397964,19141856,21647340,23678593,25772606,28452664,31013616,33388119,35613540,35664649,38572902,39364749,41549323,41764729,43046839,45260843,46718325,50308556,51723060,55291855,57939734,62083202,66871629,70377610,75151545,75619770,77154329,76101302,74774983,74500972,
56,combined,,row,25,Water Utilities,1440828,1722163,1660730,1428280,447131,508053,952585,1696942,1096065,1019580,1522909,2455623,2089384,578261,295709,543110,-396673,223742,338715,782042,625076,1258363,2296164,3352783,3105898,3566383,2667558,4990622,4262671,6572650,4775891,2142024,-471360,-1887657,-1835919,
57,combined,,row,56,Gross Revenue,6765752,7717612,8472461,9528164,10466984,11979703,13260170,14402746,15314515,16767400,17674155,18034149,19447322,20450540,22692069,23879068,25432942,26896969,27472820,29038740,30515060,30794102,33236410,34736304,36087197,37378226,40036690,43401415,44900000,47306441,49326963,51554316,54526606,57483572,59377863,
58,combined,,row,56,Gross Expenditure,8206580,9439775,10133191,10956444,10914115,12487756,14212755,16099688,16410580,17786980,19197064,20489772,21536706,21028801,22987778,24422178,25036269,27120711,27811535,29820782,31140136,32052465,35532574,38089087,39193095,40944609,42704248,48392037,49162671,53879091,54102854,53696340,54055246,55595915,57541944,
59,combined,,row,25,Other Government-Run Business-Like Operations,-1312,483,-7693,11350,-9696,-19281,-22227,-4615,25806,6102,-4054,-14499,-34365,-67035,-12830,-41780,-24592,-69903,-57072,-54778,12731,41894,52345,-491869,-422117,3071649,3798415,-1394996,-2698071,-1612911,-2266702,-2402775,-1757691,-1814103,-1803717,
60,combined,,row,59,Gross Revenue,230098,271092,309177,278206,329375,343051,304713,299153,281805,350574,370848,367457,359371,333619,328054,335430,377279,409148,400066,395745,377004,401487,367076,856336,770769,3810234,4168985,6169253,9975688,9058627,8436497,8748930,6998360,6661292,6656791,
61,combined,,row,59,Gross Expenditure,228786,271575,301484,289556,319679,323770,282486,294538,307611,356676,366794,352958,325006,266584,315224,293650,352687,339245,342994,340967,389735,443381,419421,364467,348652,6881883,7967400,4774257,7277617,7445716,6169795,6346155,5240669,4847189,4853074,
62,combined,,total_row,25,State & Local Business Net Expenditures,21454487,23435147,23500426,24246144,21100895,20933293,23222536,24239402,24671417,22960684,24353607,26023966,23769985,21038957,16825423,15223351,10497887,10677445,11542148,14393295,20198279,30888736,33098975,36179012,42468968,39069111,34919761,46364722,58433815,67981453,62527816,54930826,45463054,35856952,36265526,
63,combined,,row,62,Gross Revenue,48907723,56843469,65151138,72226940,79281870,87001961,93857543,100469715,107770617,118226002,126905502,134768039,144840731,153269728,166211464,175146228,185513426,190495167,196300920,205174291,213950904,233441597,249622433,257705797,272475944,292040936,321651817,340934477,360722988,382822314,390897863,404319900,415322914,428362532,444715281,
64,combined,,row,62,Gross Expenditure,70362210,80278616,88651564,96473084,100382765,107935254,117080079,124709117,132442034,141186686,151259109,160792005,168610716,174308685,183036887,190369579,196011313,201172612,207843068,219567586,234149183,264330333,282721408,293884809,314944912,331110047,356571578,387299199,419156803,450803767,453425679,459250726,460785968,464219484,480980807,
65,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
