order,government_type,style,type,data_table,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
9,federal,,row,Spending By Function,Spending By Function,Capital Expenditures,40542,47881,56504,67408,78223,89973,96197,102519,100607,104805,105145,106184,102629,95242,83892,79339,75690,72150,68669,74705,81544,88804,97869,104222,111006,116823,126312,138661,161087,186606,195280,190631,182473,173040,154563
10,federal,,row,Spending By Function,Capital Expenditures,Defense,32486,39101,47960,59221,68229,77956,84663,89526,85698,90490,89700,89222,82359,76141,66730,59865,54961,52403,53545,53880,56056,61039,68342,74707,83610,89474,97268,107826,126311,139713,147215,141560,138077,126904,117067
11,federal,,row,Spending By Function,Capital Expenditures,Non-Defense,8056,8780,8544,8187,9994,12017,11534,12993,14909,14315,15445,16962,20270,19101,17162,19474,20729,19747,15124,20825,25488,27765,29527,29515,27396,27349,29044,30835,34776,46893,48065,49071,44396,46136,37496
12,federal,,row,Spending By Function,Spending By Function,Transfer Payments to Individuals & Subsidies,212611,248976,277246,310772,317680,351424,350226,365240,387181,414740,449324,494894,551690,592813,616262,655849,683548,718392,732405,738459,776216,827353,913917,998397,1031750,1102641,1198360,1270593,1384002,1584962,1741025,1786340,1773073,1830655,1889256
13,federal,,row,Spending By Function,Transfer Payments to Individuals,Social Security,117065,137882,153917,168513,176053,186432,196547,205104,216808,230137,246349,266482,284918,301643,316676,332985,346820,362058,375830,386686,405867,429181,451886,470191,491263,518106,548880,580811,611349,676858,700050,724151,767069,807249,844342
14,federal,,row,Spending By Function,Social Security,Social Security (Old Age & Survivors),102067,121003,136454,150893,158256,167732,176949,184612,195331,207493,221926,239495,254466,267934,279710,292669,303539,316568,327936,336064,351432,370950,387463,400179,414788,433956,457726,483320,506625,561370,576578,595619,631362,667165,702494
15,federal,,row,Spending By Function,Social Security,Social Security (Disabled),14998,16879,17463,17620,17797,18700,19598,20492,21477,22644,24423,26987,30452,33709,36966,40316,43281,45490,47894,50622,54435,58231,64423,70012,76475,84150,91154,97491,104724,115488,123472,128532,135707,140084,141848
16,federal,,row,Spending By Function,Transfer Payments to Individuals,Medicare,33954,41267,49167,55498,60951,69649,74184,79913,85704,94300,107410,114219,129411,143147,159541,177074,191265,207308,210327,208470,215145,236882,252674,273060,295920,331280,372375,426893,445830,488349,510467,548466,537624,567947,584999
17,federal,,row,Spending By Function,Transfer Payments to Individuals,Unemployment Benefits,17139,19006,22570,30464,23808,21312,19281,18102,16090,16057,17511,25451,37701,36209,27145,21919,22958,21145,20094,21736,21139,28341,51207,55049,43128,33085,31876,33208,43424,119766,158263,118609,92282,68260,43504
18,federal,,row,Spending By Function,Transfer Payments to Individuals,SSI,5677,6422,6844,7881,7625,8654,9323,9933,11370,11503,11493,14668,17239,20343,23700,23685,23088,25512,26257,26845,29660,26027,29530,30594,31384,35436,34466,32930,38166,41525,44018,49719,44188,50308,51499
19,federal,,row,Spending By Function,Transfer Payments to Individuals,SNAP Benefits,8705,10764,10262,11210,10829,10815,10651,10448,11152,11650,13793,17278,20193,21991,22752,22814,22392,19735,16468,15643,14787,15432,18120,21163,24417,28229,30012,30283,34384,49980,64753,71664,73569,76476,70446
20,federal,,row,Spending By Function,Transfer Payments to Individuals,EITC,1275,1318,1201,1213,1193,1100,1415,1410,2698,4002,4354,4885,7345,8781,10950,15244,19159,21856,23239,25632,26099,26123,27826,31961,33134,34559,36166,38274,40600,42418,54712,55652,54890,57513,60087
21,federal,,row,Spending By Function,Transfer Payments to Individuals,Veterans Benefits,21063,22695,23831,24852,25276,25989,26440,26784,28367,29415,28671,31296,33158,34410,37288,37378,36718,39484,40829,42413,46413,45799,52261,57004,62113,69293,70551,73113,83799,94206,105654,121578,118521,133075,142255
22,federal,,row,Spending By Function,Transfer Payments to Individuals,Other,7733,9622,9454,11141,11945,27473,12385,13546,14992,17676,19743,20615,21725,26289,18210,24750,21148,21294,19361,11034,17106,19568,30413,59375,50391,52653,74034,55081,86450,71860,103108,96501,84930,69827,92124
23,federal,,row,Spending By Function,Spending By Function,Grants to State and Local Governments,91385,94704,88134,92448,97553,105852,112331,108400,115342,121928,135325,154519,178065,193612,210596,224991,227811,234160,246128,267886,285874,318542,352895,388542,407512,428018,434099,443797,461317,537991,608390,606766,544569,546171,576967
24,federal,,row,Spending By Function,Grants to State and Local Governments,Medicaid and CHIP,13957,16833,17391,18985,20061,22655,24995,27435,30462,34604,41103,52533,67827,75774,82034,89070,91990,95552,101234,108042,117921,129434,147650,160805,176231,181720,180625,190624,201426,250924,272771,274964,250534,265392,301472
25,federal,,row,Spending By Function,Grants to State and Local Governments,Transportation,13022,13404,12110,13200,14988,17009,18318,16873,18043,18176,19174,19826,20556,22292,23633,25787,25957,26846,26144,28904,32222,36647,40998,41029,41471,43370,46683,47945,51216,55438,60981,60986,60749,60518,62260
26,federal,,row,Spending By Function,Grants to State and Local Governments,Other,64406,64467,58633,60263,62504,66188,69018,64092,66837,69148,75048,82160,89682,95546,104929,110134,109864,111762,118750,130940,135731,152461,164247,186708,189810,202928,206791,205228,208675,231629,274638,270816,233286,220261,213235
27,federal,,row,Spending By Function,Spending By Function,Payments to Others for Goods & Services,78486,93244,98319,103450,89289,102520,120212,106520,112117,125334,158232,139608,106107,81078,97264,77276,77124,83912,107466,119868,137835,129068,158453,167435,209694,244858,256141,219848,284960,558885,216087,277615,319735,179080,143307
28,federal,,row,Spending By Function,Spending By Function,Net Interest Paid,52533,68766,85032,89808,111102,129478,136017,138611,151803,168981,184347,194448,199344,198713,202932,232134,241053,243984,241118,229755,222949,206167,170949,153073,160245,183986,226603,237109,252757,186902,196194,229962,220408,220885,228956
29,federal,,total_row,Spending By Function,Spending By Function,Total Spending,592777,686156,749860,817507,857438,951427,995109,1010483,1069397,1148813,1258906,1330674,1387961,1416700,1469291,1530442,1568974,1621595,1670157,1712249,1799572,1877386,2023564,2173574,2307948,2488820,2673943,2761484,3016008,3554747,3478268,3628341,3573880,3484044,3532124
30,federal,memo,data_table,,,Memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,federal,,row,Memo,Memo,Memo: Expenditures on R&D (Defense),14643,16937,19809,22298,25765,30360,35656,37097,38032,40366,41078,37887,38170,40396,38055,37699,39428,40177,40141,40276,41050,44147,48238,57328,65345,70646,73043,77078,79601,82918,81090,79675,75121,71115,70576
32,federal,,row,Memo,Memo,Memo: Expenditures on R&D (Non-Defense incl. grants to S&L),15592,17231,14850,13602,15221,16856,16485,16159,18068,20394,22732,24296,26558,27982,28397,30733,29011,30896,32662,33860,32897,35942,39673,44112,48034,49200,49752,52611,55346,56911,59836,63950,63654,61365,60730
,,summary,data_table,,,Annual Deficit / Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,state_local,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Revenue,332580,367340,392214,422041,472883,521674,569570,614986,634019,677623,735091,768994,854279,916006,963324,1020788,1099986,1184854,1286253,1344236,1468420,1377157,1275930,1491941,1846422,1906488,2060699,2337460,1857107,1315991,2366370,2591874,2197279,2555340,2768562
,state_local,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Spending,331648,365432,388040,418636,454283,497234,546849,596539,628741,671548,734258,801421,826981,871281,911311,972077,1004883,1055649,1116530,1194606,1294773,1401565,1521880,1600905,1692976,1774698,1842541,1968810,2103505,2216653,2271069,2309792,2336460,2368224,2452305
,state_local,,total_row,Annual Deficit / Surplus,Annual Deficit / Surplus,Net Balance,932,1908,4173,3405,18600,24440,22721,18447,5278,6075,832,-32427,27298,44725,52013,48710,95102,129205,169723,149630,173647,-24408,-245950,-108964,153446,131791,218158,368650,-246398,-900663,95302,282082,-139181,187116,316257
33,,expandable,data_table,,,Spending By Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,state_local,,row,Spending By Function,Spending By Function,Personnel and Compensation,159449,173205,187360,198917,214921,233510,251584,270734,290938,307308,334527,353069,361967,379755,397710,417289,437743,458543,486801,511703,547967,582329,618939,641641,649182,678229,714030,757115,810133,829858,826435,842652,858442,886855,921142
35,state_local,,row,Spending By Function,Personnel and Compensation,Past Employees,16726,18650,21317,23162,26093,29196,31651,35555,38787,42132,46822,52023,57327,63398,66839,72136,79241,83205,90621,95949,106581,116556,128596,141717,154564,165887,175983,184917,199632,210904,223660,239018,249507,263675,276558
36,state_local,,row,Spending By Function,Personnel and Compensation,Present Employees,153058,165449,177931,188284,201742,218362,235691,252904,271572,286428,310554,327528,332401,345683,361836,376877,390625,407134,427674,449053,475273,504544,532077,545460,549284,569782,595735,630351,666838,678310,660574,662006,670634,685452,708844
37,state_local,,row,Spending By Function,Personnel and Compensation,Offset for Employee Contributions to Own Retirement/Disability Fund,-10335,-10895,-11887,-12529,-12914,-14047,-15758,-17725,-19420,-21251,-22849,-26482,-27761,-29326,-30964,-31723,-32124,-31796,-31494,-33299,-33888,-38772,-41735,-45536,-54666,-57439,-57688,-58153,-56338,-59356,-57799,-58372,-61699,-62272,-64260
38,state_local,,row,Spending By Function,Spending By Function,Capital Expenditures,63172,67855,66971,68118,71000,80341,91088,99502,105078,112897,124326,133033,136292,135899,137501,151440,158911,172987,181871,198483,217063,233258,257071,252031,269098,278063,282609,326047,349710,362612,355437,336340,333169,320416,321379
39,state_local,,row,Spending By Function,Capital Expenditures,Education,10737,11328,10855,10880,11596,13477,15490,17803,18529,21854,25997,27251,30927,31359,29012,35708,40302,44077,49332,54418,60968,65116,71680,70813,74652,81916,87764,91740,98284,101217,93562,86760,84486,80600,80240
40,state_local,,row,Spending By Function,Capital Expenditures,Transportation,23206,24416,23473,24534,26711,30553,33999,36312,39735,41414,43931,47287,48773,48799,53290,55156,56281,58875,62226,67909,74705,81642,88102,89203,92980,95877,100929,109805,115435,118826,124310,118542,121989,120527,121076
41,state_local,,row,Spending By Function,Capital Expenditures,Other,29229,32112,32643,32703,32693,36311,41598,45387,46814,49628,54397,58494,56592,55741,55199,60576,62327,70035,70313,76156,81390,86500,97290,92015,101465,100270,93916,124502,135991,142569,137565,131039,126695,119290,120062
42,state_local,,row,Spending By Function,Spending By Function,Transfer Payments to Individuals & Subsidies,45473,52157,56124,59066,64607,69391,73588,80040,86277,94684,106791,126602,170355,183054,197485,211048,211246,217824,221299,232506,250199,275295,299905,326686,354800,380370,405112,416415,436074,464824,494518,527978,530918,564029,592953
43,state_local,,row,Spending By Function,Transfer Payments to Individuals,Medicaid and CHIP,20631,23940,26092,27632,30816,33240,35511,39379,43765,49061,57375,71429,109992,119559,130803,140430,141771,148127,150177,158042,172404,193019,212623,235175,261877,286705,288665,296358,310250,330320,356182,388627,393156,423998,447827
44,state_local,,row,Spending By Function,Transfer Payments to Individuals,Other,24842,28217,30032,31435,33792,36151,38076,40661,42512,45623,49416,55173,60363,63496,66682,70618,69475,69697,71122,74465,77795,82275,87282,91511,92923,93665,116447,120057,125824,134504,138336,139351,137762,140031,145125
45,state_local,,row,Spending By Function,Spending By Function,Payments to Others for Goods & Services,62975,72162,79008,89458,96772,108479,122121,133014,140953,154237,168425,185770,148910,158577,162808,179334,185833,195698,217378,240345,269536,306232,326193,349924,379812,405631,415191,455010,488039,513767,534568,535629,539780,522289,543494
46,state_local,,row,Spending By Function,Spending By Function,Net Interest Paid,580,53,-1424,3076,6983,5513,8468,13249,5496,2423,190,2947,9458,13996,15808,12966,11151,10597,9181,11569,10009,4452,19772,30623,40084,32405,25599,14224,19550,45592,60111,67193,74150,74635,73337
47,state_local,,total_row,Spending By Function,Spending By Function,Total Spending,331648,365432,388040,418636,454283,497234,546849,596539,628741,671548,734258,801421,826981,871281,911311,972077,1004883,1055649,1116530,1194606,1294773,1401565,1521880,1600905,1692976,1774698,1842541,1968810,2103505,2216653,2271069,2309792,2336460,2368224,2452305
,,summary,data_table,,,Annual Deficit / Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,combined,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Revenue,770234,886091,928594,943488,1049722,1156591,1232437,1363313,1433268,1550890,1639391,1679769,1776447,1882619,2017584,2162181,2330558,2543822,2774178,2915303,3216312,3063051,2785577,2903952,3323159,3643025,4040387,4485054,3948796,2932360,3935841,4283235,4103226,4780263,5217218
,combined,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Spending,843132,963151,1052397,1147884,1216490,1344459,1430943,1494595,1583169,1697454,1859594,1981434,2039470,2092945,2168758,2277423,2342887,2436501,2535185,2640063,2806424,2959223,3189285,3390501,3582440,3829580,4070409,4277105,4653747,5245711,5134912,5300743,5329369,5272690,5385588
,combined,,total_row,Annual Deficit / Surplus,Annual Deficit / Surplus,Net Balance,-72897,-77060,-123804,-204397,-166768,-187868,-198506,-131282,-149900,-146564,-220203,-301665,-263023,-210326,-151173,-115242,-12329,107321,238993,275240,409888,103828,-403708,-486549,-259281,-186555,-30023,207949,-704951,-2313351,-1199071,-1017508,-1226144,-492428,-168370
48,,expandable,data_table,,,Spending By Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,combined,,row,Spending By Function,Spending By Function,Personnel and Compensation,276668,305790,331984,352539,378513,405690,431710,459927,493286,520333,561060,594091,612093,634997,656055,678142,701490,727540,761173,793278,843121,889781,948420,1003546,1036923,1090723,1146457,1208591,1282018,1329259,1347727,1379679,1392064,1421069,1460217
50,combined,,row,Spending By Function,Personnel and Compensation,Past Employees,43988,50732,56499,60610,65232,68833,74189,80292,86862,92621,100266,109589,116686,125292,131191,139630,149167,156595,166315,173444,186235,199941,214975,234192,251458,268927,285351,300571,320786,341841,356467,377529,385291,407975,425242
51,combined,,row,Spending By Function,Personnel and Compensation,Present Employees,246734,269937,291585,308886,330775,355664,378021,402075,430503,453510,488165,515551,527956,543836,560490,574786,588916,607159,630685,657607,695535,733325,779773,819521,844725,883695,923153,970432,1021738,1050917,1053156,1064558,1072212,1078930,1102707
52,combined,,row,Spending By Function,Personnel and Compensation,Offset for Employee Contributions to Own Retirement/Disability Fund,-14054,-14879,-16099,-16957,-17494,-18806,-20500,-22440,-24079,-25798,-27371,-31049,-32549,-34131,-35625,-36273,-36593,-36214,-35827,-37772,-38649,-43485,-46329,-50167,-59260,-61898,-62046,-62411,-60507,-63499,-61896,-62407,-65439,-65836,-67732
53,combined,,row,Spending By Function,Spending By Function,Capital Expenditures,103714,115736,123475,135526,149223,170314,187285,202021,205685,217702,229471,239217,238921,231141,221393,230779,234601,245137,250540,273188,298607,322062,354940,356253,380104,394886,408921,464708,510797,549218,550717,526971,515642,493456,475942
54,combined,,row,Spending By Function,Capital Expenditures,Defense,32486,39101,47960,59221,68229,77956,84663,89526,85698,90490,89700,89222,82359,76141,66730,59865,54961,52403,53545,53880,56056,61039,68342,74707,83610,89474,97268,107826,126311,139713,147215,141560,138077,126904,117067
55,combined,,row,Spending By Function,Capital Expenditures,Education,23206,24416,23473,24534,26711,30553,33999,36312,39735,41414,43931,47287,48773,48799,53290,55156,56281,58875,62226,67909,74705,81642,88102,89203,92980,95877,100929,109805,115435,118826,124310,118542,121989,120527,121076
56,combined,,row,Spending By Function,Capital Expenditures,Transportation,10737,11328,10855,10880,11596,13477,15490,17803,18529,21854,25997,27251,30927,31359,29012,35708,40302,44077,49332,54418,60968,65116,71680,70813,74652,81916,87764,91740,98284,101217,93562,86760,84486,80600,80240
57,combined,,row,Spending By Function,Capital Expenditures,Other,37285,40892,41187,40890,42687,48328,53132,58380,61723,63943,69842,75456,76862,74842,72361,80050,83056,89782,85437,96981,106878,114265,126817,121530,128861,127619,122960,155337,170767,189462,185630,180110,171091,165426,157558
58,combined,,row,Spending By Function,Spending By Function,Transfer Payments to Individuals & Subsidies,258084,301133,333370,369838,382287,420815,423814,445280,473458,509424,556115,621496,722045,775867,813747,866897,894794,936216,953704,970965,1026415,1102648,1213822,1325083,1386550,1483011,1603472,1687008,1820076,2049786,2235543,2314318,2303991,2394684,2482209
59,combined,,row,Spending By Function,Transfer Payments to Individuals,Social Security,117065,137882,153917,168513,176053,186432,196547,205104,216808,230137,246349,266482,284918,301643,316676,332985,346820,362058,375830,386686,405867,429181,451886,470191,491263,518106,548880,580811,611349,676858,700050,724151,767069,807249,844342
60,combined,,row,Spending By Function,Transfer Payments to Individuals,Medicare,33954,41267,49167,55498,60951,69649,74184,79913,85704,94300,107410,114219,129411,143147,159541,177074,191265,207308,210327,208470,215145,236882,252674,273060,295920,331280,372375,426893,445830,488349,510467,548466,537624,567947,584999
61,combined,,row,Spending By Function,Transfer Payments to Individuals,Unemployment Benefits,17139,19006,22570,30464,23808,21312,19281,18102,16090,16057,17511,25451,37701,36209,27145,21919,22958,21145,20094,21736,21139,28341,51207,55049,43128,33085,31876,33208,43424,119766,158263,118609,92282,68260,43504
62,combined,,row,Spending By Function,Transfer Payments to Individuals,SSI,5677,6422,6844,7881,7625,8654,9323,9933,11370,11503,11493,14668,17239,20343,23700,23685,23088,25512,26257,26845,29660,26027,29530,30594,31384,35436,34466,32930,38166,41525,44018,49719,44188,50308,51499
63,combined,,row,Spending By Function,Transfer Payments to Individuals,SNAP Benefits,8705,10764,10262,11210,10829,10815,10651,10448,11152,11650,13793,17278,20193,21991,22752,22814,22392,19735,16468,15643,14787,15432,18120,21163,24417,28229,30012,30283,34384,49980,64753,71664,73569,76476,70446
64,combined,,row,Spending By Function,Transfer Payments to Individuals,EITC,1275,1318,1201,1213,1193,1100,1415,1410,2698,4002,4354,4885,7345,8781,10950,15244,19159,21856,23239,25632,26099,26123,27826,31961,33134,34559,36166,38274,40600,42418,54712,55652,54890,57513,60087
65,combined,,row,Spending By Function,Transfer Payments to Individuals,Medicaid and CHIP,20631,23940,26092,27632,30816,33240,35511,39379,43765,49061,57375,71429,109992,119559,130803,140430,141771,148127,150177,158042,172404,193019,212623,235175,261877,286705,288665,296358,310250,330320,356182,388627,393156,423998,447827
66,combined,,row,Spending By Function,Transfer Payments to Individuals,Veterans Benefits,21063,22695,23831,24852,25276,25989,26440,26784,28367,29415,28671,31296,33158,34410,37288,37378,36718,39484,40829,42413,46413,45799,52261,57004,62113,69293,70551,73113,83799,94206,105654,121578,118521,133075,142255
67,combined,,row,Spending By Function,Transfer Payments to Individuals,Other,32575,37839,39486,42576,45737,63624,50461,54207,57504,63299,69159,75788,82088,89785,84892,95368,90623,90991,90483,85499,94901,101843,117695,150886,143314,146318,190481,175138,212274,206364,241444,235852,222692,209858,237249
68,combined,,row,Spending By Function,Spending By Function,Payments to Others for Goods & Services,141461,165406,177328,192908,186061,210999,242333,239534,253069,279570,326657,325379,255016,239655,260071,256610,262957,279609,324843,360213,407370,435299,484646,517359,589507,650489,671333,674858,772999,1072652,750655,813243,859515,701368,686801
69,combined,,row,Spending By Function,Spending By Function,Net Interest Paid,53113,68819,83608,92884,118085,134991,144485,151860,157299,171404,184537,197395,208802,212709,218740,245100,252204,254581,250299,241324,232958,210619,190721,183696,200329,216391,252202,251333,272307,232494,256305,297155,294558,295520,302293
70,combined,,row,Spending By Function,Spending By Function,Discrepancy Between State and Local Receipts and Federal Government Transfers to State and Local Governments,10093,6266,2632,4190,2321,1650,1316,-4027,372,-979,1755,3858,2593,-1424,-1249,-106,-3160,-6584,-5374,1094,-2047,-1185,-3264,4564,-10972,-5920,-11976,-9392,-4449,12301,-6035,-30624,-36402,-33407,-21874
71,combined,,total_row,Spending By Function,Spending By Function,Total Spending,843132,963151,1052397,1147884,1216490,1344459,1430943,1494595,1583169,1697454,1859594,1981434,2039470,2092945,2168758,2277423,2342887,2436501,2535185,2640063,2806424,2959223,3189285,3390501,3582440,3829580,4070409,4277105,4653747,5245711,5134912,5300743,5329369,5272690,5385588
