order,government_type,style,type,data_table,parent,name,footnote,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
35,federal,,row,Spending By Mission,Foreign Affairs and Foreign Aid,Other Foreign Affairs,,4325080,3878215,3111216,1279600,3466772,1370199,-1320104,219377,1262738,3280381,-391293,882485,2468013,3753896,3377173,3579000,2762000,4538000,2517000,4020000,4319000,2718000,6582000,2229000,4732000,8987000,5009000,4964000,5301000,9190000,14833000,12371000,13822000,13703000,11817000,11509000
36,federal,,row,Spending By Mission,Provide for the Common Defense,"Immigration and Border Security (net of visa fees, etc.)",,876553,959995,1007536,1132504,1208786,1297626,1378830,1708406,2265790,1690742,1362933,1742967,1946267,2009525,1956440,1665000,1979000,2317000,3381000,3622000,3897000,3960000,5722000,5643000,6874000,6973000,7644000,8664000,11270000,15299000,14427000,14588000,14520000,13824000,13382000,13853000
37,federal,,row,Spending By Mission,Spending By Mission,Promote the General Welfare,,67351640,74421456,75012268,87362985,76310295,90002748,81965836,83331890,96173503,113679381,163424096,190186330,150376604,129604221,147899044,134901000,150325000,149733000,164736000,163432000,178009000,191201000,237246000,260324000,256950000,269602000,272157000,286426000,368400000,623420000,425489000,491275000,516115000,451528000,419578000,440486000
38,federal,,row,Spending By Mission,Promote the General Welfare,Economy and Infrastructure,,20413150,21262745,18693379,20082065,21882984,21096139,24832955,25834441,35283251,48099031,90634359,100426106,37485724,8622975,28547475,15094000,26550000,22177000,38326000,34855000,40839000,45018000,49108000,53307000,49884000,58318000,55643000,64451000,87505000,247820000,-51500000,36073000,111134000,62715000,47809000,56725000
39,federal,,row,Spending By Mission,Economy and Infrastructure,Transportation and Transportation Safety,,8307648,9974674,8514466,8133806,8680831,8828616,9795045,9348928,9229093,9432107,10311233,11273149,12775853,12712851,14432988,13563000,13608000,13921000,14199000,13628000,14631000,17800000,20829000,26034000,23146000,24520000,23558000,24959000,26400000,28851000,30991000,31980000,32270000,31155000,29678000,28702000
40,federal,,row,Spending By Mission,Transportation and Transportation Safety,Air Transportation,,3132454,3344552,3187550,3547616,3721518,4106564,4433888,4602744,5071888,5487730,6013546,6643019,7640598,8117693,8526337,8161000,8480000,8649000,9111000,9155000,8947000,11958000,13678000,20662000,13612000,15277000,14164000,14222000,15591000,16861000,17549000,18094000,18713000,17945000,17823000,17045000
41,federal,,row,Spending By Mission,Transportation and Transportation Safety,Highway Transportation,,314391,297372,299020,235383,238076,240679,286251,299991,286568,215989,371866,386404,495738,505468,663360,313000,340000,297000,305000,282000,372000,416000,546000,488000,677000,841000,745000,1007000,832000,694000,922000,840000,794000,863000,1445000,979000
42,federal,,row,Spending By Mission,Transportation and Transportation Safety,Railroad Transportation,,2533518,3844730,2251811,1290584,1640139,1159749,1002062,920616,676881,719509,658274,913181,1009363,430169,1313469,1134000,1081000,1190000,1117000,473000,758000,784000,1500000,-1320000,1745000,1651000,1640000,1758000,1761000,2127000,2911000,2460000,2374000,2026000,555000,546000
43,federal,,row,Spending By Mission,Transportation and Transportation Safety,Ground Transportation (unallocable),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0,-73000,10000,31000,546000,281000,-177000,-92000
44,federal,,row,Spending By Mission,Transportation and Transportation Safety,Water Transportation,,2226374,2380553,2687267,2963728,2999653,3188920,3941545,3439007,3080313,2888700,3125473,3112732,3392489,3385221,3607520,3669000,3404000,3523000,3486000,3525000,4385000,4400000,5041000,5907000,6898000,6439000,6688000,7695000,8121000,8983000,9223000,10238000,9537000,9648000,9674000,9894000
45,federal,,row,Spending By Mission,Transportation and Transportation Safety,General and Other Transportation,,100911,107467,88818,96495,81445,132704,131299,86570,113443,120179,142074,217813,237665,274300,322302,286000,303000,262000,180000,193000,169000,242000,64000,297000,214000,312000,323000,277000,95000,259000,376000,317000,306000,392000,358000,330000
46,federal,,row,Spending By Mission,Economy and Infrastructure,General Commerce (includes Small Business Administration),,2127294,1503534,1559586,1573562,1507970,1556934,1330410,933277,1043149,1382736,2362755,1492963,1494836,1735192,1372314,1254000,1579000,1182000,1049000,1467000,4923000,1679000,2030000,3012000,4759000,3743000,2273000,2506000,3136000,5789000,13811000,8795000,5272000,2890000,2592000,2004000
47,federal,,row,Spending By Mission,Economy and Infrastructure,Banking and Finance,,-258658,-1220755,-1948729,-1542021,-590554,-2169768,1422164,3135405,10051919,22030787,57921792,66277369,2559177,-27908193,-7522106,-17775000,-8342000,-14330000,-4310000,-5219000,-2988000,-1502000,-952000,-1344000,-1877000,-1270000,-1006000,-1389000,18827000,172792000,-142029000,-47390000,28221000,-7811000,-21359000,-13790000
48,federal,,row,Spending By Mission,Banking and Finance,Deposit Insurance,,-284839,-1371379,-2056070,-1252988,-615850,-2197646,1394289,3106386,10019627,21996374,57891134,66232100,2511325,-27957306,-7569674,-17827000,-8394000,-14384000,-4371000,-5280000,-3053000,-1569000,-1026000,-1430000,-1976000,-1371000,-1110000,-1492000,18760000,22573000,-32033000,-8697000,6666000,4292000,-13823000,-12812000
49,federal,,row,Spending By Mission,Banking and Finance,Other Banking and Finance (includes financial market bailouts),,26181,150624,107341,-289033,25296,27878,27875,29019,32292,34413,30658,45269,47852,49113,47568,52000,52000,54000,61000,61000,65000,67000,74000,86000,99000,101000,104000,103000,67000,150219000,-109996000,-38693000,21555000,-12103000,-7536000,-978000
50,federal,,row,Spending By Mission,Other Banking and Finance (includes financial market bailouts),Note: Net expenditures for Bailouts in Banking and Finance,,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1389
51,federal,,row,Spending By Mission,Economy and Infrastructure,General Science and Basic Research (includes NSF),,1380579,1476169,1606282,1643742,1842331,2014926,2206671,2243217,2406659,2625718,2817691,3135511,3551208,3913850,3825411,4099000,3991000,4080000,5306000,5638000,6167000,6520000,7261000,7951000,8392000,8819000,9093000,9149000,9573000,10020000,11730000,12434000,12458000,12479000,12011000,11719000
52,federal,,row,Spending By Mission,Economy and Infrastructure,Space,,4450912,4992317,5592912,6290357,6468745,6607435,6755601,6956517,8412979,10195668,11608591,12956683,12837895,13092224,12363207,12593000,12693000,13056000,12866000,12446000,12427000,13233000,13473000,12880000,14637000,14778000,14491000,15258000,17200000,18397000,18370000,17032000,16602000,16429000,16559000,17693000
53,federal,,row,Spending By Mission,Economy and Infrastructure,Technology Infrastructure (includes FCC and NTIS),,214403,234295,223542,242330,287446,377786,432362,492130,577288,753431,942667,1058765,1143527,1225051,1133553,1400000,1552000,2612000,7272000,4520000,1798000,3429000,4677000,8423000,3493000,6971000,6334000,6809000,7652000,8909000,8084000,9137000,10426000,9041000,8331000,8762000
54,federal,,row,Spending By Mission,Economy and Infrastructure,"Postal Service (net of revenues from stamps, etc.)",,1245551,1431723,154146,1111294,1238828,1351100,758085,1592629,2229465,126798,2115676,1827993,1169276,1601631,1233139,-1839000,-58000,77000,303000,1050000,2129000,2395000,207000,-5169000,-4070000,-1223000,-971000,5197000,2526000,422000,4818000,909000,2744000,-1839000,-2453000,-1610000
55,federal,,row,Spending By Mission,Economy and Infrastructure,Community and Regional Development,,2945421,2870788,2991174,2628995,2447387,2529110,2132617,1132338,1332699,1551786,2553954,2403673,1953952,2250369,1708969,1799000,1527000,1579000,1641000,1325000,1752000,1464000,1583000,1520000,1404000,1980000,1871000,1962000,2191000,2640000,2725000,3176000,3141000,371000,2450000,3245000
56,federal,,row,Spending By Mission,Promote the General Welfare,Health (excludes Medicare/Medicaid),,5134624,5415675,5945079,5627461,5347967,5848625,6460121,6661638,7911802,8661157,9595650,10204458,11379431,12681861,13103089,14158000,13500000,15935000,16782000,17684000,19925000,22979000,27208000,30323000,33246000,33949000,35568000,36020000,38867000,40191000,48815000,52534000,51300000,49775000,47077000,46269000
57,federal,,row,Spending By Mission,Health (excludes Medicare/Medicaid),Public Health,,5001544,5181941,5784954,5490291,5219565,5769706,6351160,6524578,7811307,8544856,9467745,10040194,11392331,12368466,12776258,13560000,13029000,15402000,16220000,17187000,19262000,22383000,26340000,29579000,32598000,33164000,35194000,35558000,38549000,40039000,48385000,48197000,46478000,45679000,43501000,43770000
58,federal,,row,Spending By Mission,Health (excludes Medicare/Medicaid),Other Medical Assistance to Persons,,0,0,0,0,0,0,0,0,0,0,0,0,0,161091,285960,336000,304000,339000,340000,148000,155000,150000,124000,190000,127000,125000,114000,49000,-8000,55000,47000,3415000,3500000,2481000,921000,226000
59,federal,,row,Spending By Mission,Health (excludes Medicare/Medicaid),Medicare and Medicaid Unallocable,,69034,115922,53445,85991,89701,46045,77070,94314,57791,76127,65982,121919,-76214,116802,-23833,12000,23000,27000,40000,35000,-149000,-14000,477000,-18000,-342000,374000,-80000,136000,40000,-54000,127000,302000,415000,752000,1354000,1341000
60,federal,,row,Spending By Mission,Health (excludes Medicare/Medicaid),Other Health Expenditures,,64046,117812,106680,51179,38701,32874,31891,42746,42704,40174,61923,42345,63314,35502,64704,250000,144000,167000,182000,314000,657000,460000,267000,572000,863000,286000,340000,277000,286000,151000,256000,620000,907000,863000,1301000,932000
61,federal,,row,Spending By Mission,Promote the General Welfare,Standard of Living and Aid to the Disadvantaged,,41803866,47743036,50373810,61653459,49079344,63057984,50672760,50835811,52978450,56919193,63194087,79555766,101511449,108299385,106248480,105649000,110275000,111621000,109628000,110893000,117245000,123204000,160930000,176694000,173820000,177335000,180946000,185955000,242028000,335409000,428174000,402668000,353681000,339038000,324692000,337492000
62,federal,,row,Spending By Mission,Standard of Living and Aid to the Disadvantaged,Cash Programs for Aid to the Disadvantaged,,7676958,8549660,8991879,9943953,9699085,10727902,11772510,12332456,15051338,16575491,16972185,20851416,26198634,30721407,36475132,40852000,44093000,49332000,51666000,55370000,58876000,55514000,64840000,71541000,75991000,87278000,88909000,90154000,129370000,114085000,138749000,145473000,125264000,133653000,137417000,137502000
63,federal,,row,Spending By Mission,Cash Programs for Aid to the Disadvantaged,Child Tax Credit (refundable portion),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445000,809000,982000,5060000,6435000,8857000,14624000,15473000,16159000,34019000,24284000,22659000,22691000,22106000,21608000,21490000,20592000
64,federal,,row,Spending By Mission,Cash Programs for Aid to the Disadvantaged,EITC (refundable portion),,1275231,1317980,1201494,1213292,1192901,1099776,1414990,1409932,2697587,4002029,4354072,4884669,7344885,8780787,10949827,15244000,19159000,21856000,23239000,25632000,26099000,26123000,27826000,31961000,33134000,34559000,36166000,38274000,40600000,42418000,54712000,55652000,54890000,57513000,60087000,60084000
65,federal,,row,Spending By Mission,Cash Programs for Aid to the Disadvantaged,SSI,,6372174,7146506,7656868,8710884,8490127,9606378,10344721,10909274,12344977,12554727,12568426,15925823,18777024,21906839,25480386,25561000,24892000,27430000,28396000,29197000,31865000,28298000,31836000,33045000,33914000,38010000,37185000,35601000,40762000,44565000,47423000,53373000,47846000,53834000,55234000,56366000
66,federal,,row,Spending By Mission,Cash Programs for Aid to the Disadvantaged,TANF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,2000
67,federal,,row,Spending By Mission,Cash Programs for Aid to the Disadvantaged,Refugee Assistance,,29553,85174,133517,19777,16057,21748,12799,13250,8774,18735,49687,40924,76725,33781,44919,47000,42000,46000,31000,96000,103000,111000,118000,100000,86000,85000,85000,120000,121000,131000,178000,121000,169000,709000,606000,458000
68,federal,,row,Spending By Mission,Cash Programs for Aid to the Disadvantaged,Other Cash Programs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13868000,2687000,13775000,13636000,253000,-11000,0,0
69,federal,,row,Spending By Mission,Standard of Living and Aid to the Disadvantaged,Non-Cash Programs for Aid to the Disadvantaged,,16023051,19590770,17897396,20705675,21335934,35110858,21440975,21686405,22922610,25070571,27554497,31982323,36231538,39891163,41044013,41252000,41493000,39525000,35911000,32182000,35459000,37445000,42990000,47869000,52437000,54520000,58711000,59728000,66487000,98471000,128589000,136072000,131779000,134006000,140762000,163019000
70,federal,,row,Spending By Mission,Non-Cash Programs for Aid to the Disadvantaged,Child Care Assistance,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,3000,5000,12000,14000,14000,7000,7000,7000,7000,6000,7000,7000,9000,9000,9000,9000,12000
71,federal,,row,Spending By Mission,Non-Cash Programs for Aid to the Disadvantaged,Housing Assistance,,2187172,3698515,3819400,4283284,5504272,18848995,4943041,5258312,5258669,6164042,6354607,6731975,6654119,7455953,8130857,9156000,10048000,10165000,9163000,4971000,8977000,9112000,9591000,9552000,9754000,7698000,10343000,10838000,11378000,20958000,21154000,19603000,18101000,18763000,19254000,19280000
72,federal,,row,Spending By Mission,Non-Cash Programs for Aid to the Disadvantaged,Medicaid and CHIP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60000,-138000,-112000,0,0,0,0,0,1000,0,6000,6000,8000,8000,9000
73,federal,,row,Spending By Mission,Non-Cash Programs for Aid to the Disadvantaged,Other Medical Assistance to Persons (includes net spending by public hospitals),,668959,695845,667808,698333,787765,863210,858710,855649,941235,1047364,1110404,1305660,1963253,2383694,2589227,2008000,2028000,2173000,2149000,2199000,2378000,2561000,2817000,2948000,3145000,3207000,3347000,3375000,3347000,4070000,8421000,6582000,4914000,4500000,17675000,40868000
74,federal,,row,Spending By Mission,Non-Cash Programs for Aid to the Disadvantaged,Pell Grants,,3604504,3827935,2675717,3992842,3673678,4086709,4503138,4713396,5151582,5791801,5846916,6273668,6998060,7589005,7037115,6965000,6783000,7205000,7883000,9102000,9036000,10118000,12307000,13983000,14789000,15042000,14642000,14867000,17013000,23124000,33891000,37847000,34974000,34037000,33176000,31588000
75,federal,,row,Spending By Mission,Non-Cash Programs for Aid to the Disadvantaged,SNAP,,8942004,11039193,10524444,11478759,11113932,11108630,10895071,10673718,11394882,11869554,14024265,17528209,20463697,22250853,23076121,23053000,22634000,19982000,16714000,15907000,15063000,15702000,18399000,21484000,24742000,28566000,30372000,30641000,34743000,50311000,65116000,72025000,73775000,76689000,70640000,71262000
76,federal,,row,Spending By Mission,Non-Cash Programs for Aid to the Disadvantaged,Other Non-Cash Programs,,620412,329282,210027,252457,256287,203314,241015,185330,176242,197810,218305,142811,152409,211658,210693,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,federal,,row,Spending By Mission,Standard of Living and Aid to the Disadvantaged,Unemployment Insurance,,16913119,18340985,22341745,29993662,17038028,16240750,16475820,15806021,13876964,14145291,17464552,25469338,37722499,36230267,27222191,21982000,23199000,21197000,20251000,21538000,21050000,28310000,50913000,55056000,43088000,33010000,31974000,33334000,43511000,119690000,156550000,116603000,92641000,68152000,43746000,34162000
78,federal,,row,Spending By Mission,Standard of Living and Aid to the Disadvantaged,Employment and Training,,1190738,1261621,1142790,1010169,1006297,978474,983455,1010929,1127538,1127840,1202853,1252689,1358778,1456548,1507144,1563000,1490000,1567000,1800000,1803000,1860000,1935000,2187000,2228000,2304000,2527000,1352000,2739000,2660000,2452000,3206000,3342000,3016000,2915000,2642000,2786000
79,federal,,row,Spending By Mission,Standard of Living and Aid to the Disadvantaged,Other Tax Credits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711000,1080000,1178000,981000,312000,125000,23000
80,federal,,row,Spending By Mission,Promote the General Welfare,Note: Government-run Businesses (net expenditures),,9192686,9246848,14004332,21370549,10023218,17372282,26761082,24364567,24670363,23914712,20459941,27563123,23654158,8159731,491101,-2185000,-839000,-8339000,7965000,16650000,31629000,21612000,16734000,12214000,3788000,16766000,14113000,14649000,31406000,24455000,-4066000,15927000,18101000,18235000,2770000,-4900000
