Compensation of Government Employees (in period in which work was performed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military," 5,697 "," 12,045 "," 12,150 "," 13,340 "," 18,242 "," 26,511 "," 55,116 "," 58,404 "," 62,266 "," 65,475 "," 69,150 "," 72,742 ",,,,,,,,,,,,,,,,,,
Non-Military," 5,479 "," 7,825 "," 9,065 "," 12,151 "," 14,599 "," 16,843 "," 20,203 "," 20,517 "," 21,668 "," 21,966 "," 23,077 "," 23,783 ",,,,,,,,,,,,,,,,,,
State and Local Government," 1,712 "," 2,472 "," 2,536 "," 3,010 "," 2,658 "," 3,924 "," 5,578 "," 6,105 "," 6,541 "," 7,279 "," 7,819 "," 8,185 ",,,,,,,,,,,,,,,,,,
Over (+) or Under (-) funded Pension Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government, 428 ," 2,850 "," 3,915 "," 6,175 "," 8,826 "," 11,004 "," 19,804 "," 20,815 "," 22,503 "," 23,787 "," 25,254 "," 26,547 ",,,,,,,,,,,,,,,,,,
Military, 980 ," 5,103 "," 4,698 "," 6,330 "," 10,427 "," 15,480 "," 38,375 "," 41,094 "," 44,467 "," 47,580 "," 51,054 "," 54,658 ",,,,,,,,,,,,,,,,,,
Non-Military, 8 ," 1,048 "," 3,339 "," 6,079 "," 7,882 "," 8,350 "," 9,202 "," 9,077 "," 9,837 "," 10,011 "," 10,643 "," 11,062 ",,,,,,,,,,,,,,,,,,
State and Local Government, 134 , 155 ," (1,018)"," (2,443)"," (4,327)"," (5,596)"," (6,320)"," (5,898)"," (5,531)"," (4,843)"," (4,252)"," (4,225)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Economic Analysis (NIPA Tables 6.2, 6.3, 6.11, 7.23, and 7.24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
