Compensation of Government Employees (in period in which work was performed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and Local Government," 171,341 "," 245,712 "," 358,653 "," 455,326 "," 584,799 "," 728,027 "," 862,567 "," 863,088 "," 870,589 "," 887,564 "," 912,692 "," 944,872 ",,,,,,,,,,,,,,,,,,
Education," 82,848 "," 118,207 "," 173,286 "," 220,496 "," 290,446 "," 359,531 "," 429,249 "," 429,089 "," 432,436 "," 441,398 "," 452,584 "," 468,080 ",,,,,,,,,,,,,,,,,,
Non-Education," 88,493 "," 127,505 "," 185,367 "," 234,830 "," 294,353 "," 368,496 "," 433,318 "," 433,999 "," 438,153 "," 446,166 "," 460,108 "," 476,792 ",,,,,,,,,,,,,,,,,,
Other Supplemental Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government," 5,746 "," 11,150 "," 20,879 "," 25,735 "," 31,600 "," 59,579 "," 76,109 "," 79,944 "," 80,721 "," 78,291 "," 78,663 "," 80,711 ",,,,,,,,,,,,,,,,,,
Military," 2,015 "," 3,268 "," 4,803 "," 4,259 "," 4,383 "," 18,873 "," 22,901 "," 23,357 "," 22,768 "," 19,731 "," 18,615 "," 18,123 ",,,,,,,,,,,,,,,,,,
Non-Military," 3,731 "," 7,882 "," 16,076 "," 21,476 "," 27,217 "," 40,706 "," 53,208 "," 56,587 "," 57,953 "," 58,562 "," 60,046 "," 62,588 ",,,,,,,,,,,,,,,,,,
State and Local Government," 16,861 "," 33,423 "," 55,690 "," 80,617 "," 106,505 "," 163,612 "," 206,896 "," 212,672 "," 214,539 "," 224,387 "," 236,456 "," 244,415 ",,,,,,,,,,,,,,,,,,
Promised Pension Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government," 26,297 "," 36,134 "," 34,513 "," 29,120 "," 29,717 "," 39,306 "," 57,582 "," 58,987 "," 59,965 "," 59,585 "," 60,037 "," 60,698 ",,,,,,,,,,,,,,,,,,
Military," 10,419 "," 16,272 "," 16,878 "," 12,184 "," 12,090 "," 17,098 "," 26,770 "," 27,539 "," 27,856 "," 27,666 "," 27,126 "," 26,656 ",,,,,,,,,,,,,,,,,,
Non-Military," 15,878 "," 19,862 "," 17,635 "," 16,936 "," 17,627 "," 22,208 "," 30,812 "," 31,448 "," 32,109 "," 31,918 "," 32,912 "," 34,042 ",,,,,,,,,,,,,,,,,,
State and Local Government," 17,639 "," 26,283 "," 46,291 "," 75,629 "," 104,286 "," 150,125 "," 191,797 "," 190,784 "," 189,827 "," 191,375 "," 192,013 "," 198,092 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Over or Under Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Pension Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government," 28,485 "," 51,168 "," 55,439 "," 57,075 "," 66,530 "," 85,136 "," 144,719 "," 149,322 "," 156,254 "," 159,873 "," 164,741 "," 170,866 ",,,,,,,,,,,,,,,,,,
Military," 12,584 "," 28,234 "," 27,520 "," 23,185 "," 28,221 "," 41,092 "," 88,131 "," 92,920 "," 97,447 "," 101,225 "," 103,656 "," 107,222 ",,,,,,,,,,,,,,,,,,
Non-Military," 15,901 "," 22,934 "," 27,919 "," 33,890 "," 38,309 "," 44,044 "," 56,588 "," 56,402 "," 58,807 "," 58,648 "," 61,085 "," 63,644 ",,,,,,,,,,,,,,,,,,
State and Local Government," 19,132 "," 28,036 "," 33,036 "," 41,747 "," 39,683 "," 61,880 "," 89,914 "," 97,043 "," 102,853 "," 114,914 "," 124,377 "," 130,652 ",,,,,,,,,,,,,,,,,,
Over (+) or Under (-) funded Pension Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government," 2,188 "," 15,034 "," 20,926 "," 27,955 "," 36,813 "," 45,830 "," 87,137 "," 90,335 "," 96,289 "," 100,288 "," 104,704 "," 110,168 ",,,,,,,,,,,,,,,,,,
Military," 2,165 "," 11,962 "," 10,642 "," 11,001 "," 16,131 "," 23,994 "," 61,361 "," 65,381 "," 69,591 "," 73,559 "," 76,530 "," 80,566 ",,,,,,,,,,,,,,,,,,
Non-Military, 23 ," 3,072 "," 10,284 "," 16,954 "," 20,682 "," 21,836 "," 25,776 "," 24,954 "," 26,698 "," 26,730 "," 28,173 "," 29,602 ",,,,,,,,,,,,,,,,,,
State and Local Government," 1,493 "," 1,753 "," (13,255)"," (33,882)"," (64,603)"," (88,245)"," (101,883)"," (93,741)"," (86,974)"," (76,461)"," (67,636)"," (67,440)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Economic Analysis (NIPA Tables 6.2, 6.3, 6.11, 7.23, and 7.24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
