order,style,type,data_table,parent,row_id,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,"Billions of Dollars, Not Adjusted for inflation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,Memo: Expenditures on R&D (Defense),Memo: Expenditures on R&D (Defense),14643,16937,19809,22298,25765,30360,35656,37097,38032,40366,41078,37887,38170,40396,38055,37699,39428,40177,40141,40276,41050,44147,48238,57328,65345,70646,73043,77078,79601,82918,81090,79675,75121,71115,70576
38,,,,,Memo: Expenditures on R&D (Non-Defense incl. grants to S&L),Memo: Expenditures on R&D (Non-Defense incl. grants to S&L),15592,17231,14850,13602,15221,16856,16485,16159,18068,20394,22732,24296,26558,27982,28397,30733,29011,30896,32662,33860,32897,35942,39673,44112,48034,49200,49752,52611,55346,56911,59836,63950,63654,61365,60730
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,STATE AND LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,Revenues,332580,367340,392214,422041,472883,521674,569570,614986,634019,677623,735091,768994,854279,916006,963324,1020788,1099986,1184854,1286253,1344236,1468420,1377157,1275930,1491941,1846422,1906488,2060699,2337460,1857107,1315991,2366370,2591874,2197279,2555340,2768562
43,,,,,,Tax Revenues,224750,245868,267989,286061,322099,352477,375242,407214,438299,471166,504045,527675,562328,596964,628518,663683,692115,732032,777741,818969,876167,918052,909880,944780,1016857,1104848,1212510,1290771,1337069,1288994,1285848,1351020,1395297,1458767,1498598
44,,,,,,Non-Tax Revenues (including grants from federal government),107830,121473,124225,135980,150784,169197,194328,207773,195720,206457,231046,241319,291951,319042,334806,357105,407871,452822,508512,525267,592253,459105,366050,547161,829565,801641,848189,1046689,520039,26996,1080523,1240854,801982,1096573,1269964
45,,,,,,Grants from federal government,81293,88437,85503,88258,95231,104202,111015,112427,114969,122907,133570,150661,175472,195036,211845,225097,230971,240744,251502,266792,287921,319727,356159,383978,418484,433938,446075,453189,465766,525690,614425,637390,580971,579578,598841
46,,,,,,Other,26537,33035,38722,47722,55553,64995,83313,95345,80751,83550,97476,90658,116479,124006,122961,132008,176900,212079,257010,258475,304332,139377,9891,163183,411081,367703,402114,593500,54273,-498693,466098,603464,221012,516995,671123
,,data_table,,,Spending By Function,Spending By Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,total_row,,Spending By Function,Total Spending,Spending,331648,365432,388040,418636,454283,497234,546849,596539,628741,671548,734258,801421,826981,871281,911311,972077,1004883,1055649,1116530,1194606,1294773,1401565,1521880,1600905,1692976,1774698,1842541,1968810,2103505,2216653,2271069,2309792,2336460,2368224,2452305
48,,,,Spending By Function,Personnel and Compensation,Compensation for Personnel (past & present),159449,173205,187360,198917,214921,233510,251584,270734,290938,307308,334527,353069,361967,379755,397710,417289,437743,458543,486801,511703,547967,582329,618939,641641,649182,678229,714030,757115,810133,829858,826435,842652,858442,886855,921142
49,,,,Personnel and Compensation,Past Employees,Past Employees,16726,18650,21317,23162,26093,29196,31651,35555,38787,42132,46822,52023,57327,63398,66839,72136,79241,83205,90621,95949,106581,116556,128596,141717,154564,165887,175983,184917,199632,210904,223660,239018,249507,263675,276558
50,,,,Personnel and Compensation,Present Employees,Present Employees,153058,165449,177931,188284,201742,218362,235691,252904,271572,286428,310554,327528,332401,345683,361836,376877,390625,407134,427674,449053,475273,504544,532077,545460,549284,569782,595735,630351,666838,678310,660574,662006,670634,685452,708844
51,,,,Personnel and Compensation,Offset for Employee Contributions to Own Retirement/Disability Fund,Offset for Employee Contributions to Own Retirement/Disability Fund,-10335,-10895,-11887,-12529,-12914,-14047,-15758,-17725,-19420,-21251,-22849,-26482,-27761,-29326,-30964,-31723,-32124,-31796,-31494,-33299,-33888,-38772,-41735,-45536,-54666,-57439,-57688,-58153,-56338,-59356,-57799,-58372,-61699,-62272,-64260
52,,,,Spending By Function,Capital Expenditures,Capital Expenditures,63172,67855,66971,68118,71000,80341,91088,99502,105078,112897,124326,133033,136292,135899,137501,151440,158911,172987,181871,198483,217063,233258,257071,252031,269098,278063,282609,326047,349710,362612,355437,336340,333169,320416,321379
53,,,,Capital Expenditures,Education,Education,10737,11328,10855,10880,11596,13477,15490,17803,18529,21854,25997,27251,30927,31359,29012,35708,40302,44077,49332,54418,60968,65116,71680,70813,74652,81916,87764,91740,98284,101217,93562,86760,84486,80600,80240
54,,,,Capital Expenditures,Transportation,Transportation,23206,24416,23473,24534,26711,30553,33999,36312,39735,41414,43931,47287,48773,48799,53290,55156,56281,58875,62226,67909,74705,81642,88102,89203,92980,95877,100929,109805,115435,118826,124310,118542,121989,120527,121076
55,,,,Capital Expenditures,Other,Other,29229,32112,32643,32703,32693,36311,41598,45387,46814,49628,54397,58494,56592,55741,55199,60576,62327,70035,70313,76156,81390,86500,97290,92015,101465,100270,93916,124502,135991,142569,137565,131039,126695,119290,120062
56,,,,Spending By Function,Transfer Payments to Individuals & Subsidies,Transfer Payments to Individuals & Subsidies,45473,52157,56124,59066,64607,69391,73588,80040,86277,94684,106791,126602,170355,183054,197485,211048,211246,217824,221299,232506,250199,275295,299905,326686,354800,380370,405112,416415,436074,464824,494518,527978,530918,564029,592953
57,,,,Transfer Payments to Individuals,Medicaid and CHIP,Medicaid & CHIP,20631,23940,26092,27632,30816,33240,35511,39379,43765,49061,57375,71429,109992,119559,130803,140430,141771,148127,150177,158042,172404,193019,212623,235175,261877,286705,288665,296358,310250,330320,356182,388627,393156,423998,447827
58,,,,Transfer Payments to Individuals,Other,Other,24842,28217,30032,31435,33792,36151,38076,40661,42512,45623,49416,55173,60363,63496,66682,70618,69475,69697,71122,74465,77795,82275,87282,91511,92923,93665,116447,120057,125824,134504,138336,139351,137762,140031,145125
59,,,,Spending By Function,Payments to Others for Goods & Services,Payments to Others for Goods & Services,62975,72162,79008,89458,96772,108479,122121,133014,140953,154237,168425,185770,148910,158577,162808,179334,185833,195698,217378,240345,269536,306232,326193,349924,379812,405631,415191,455010,488039,513767,534568,535629,539780,522289,543494
60,,,,Spending By Function,Net Interest Paid,Net Interest Paid,580,53,-1424,3076,6983,5513,8468,13249,5496,2423,190,2947,9458,13996,15808,12966,11151,10597,9181,11569,10009,4452,19772,30623,40084,32405,25599,14224,19550,45592,60111,67193,74150,74635,73337
61,,total_row,,Spending By Function,Net Surplus (or Deficit),Net Surplus (or Deficit),932,1908,4173,3405,18600,24440,22721,18447,5278,6075,832,-32427,27298,44725,52013,48710,95102,129205,169723,149630,173647,-24408,-245950,-108964,153446,131791,218158,368650,-246398,-900663,95302,282082,-139181,187116,316257
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,TOTAL GOVERNMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,Revenues,770234,886091,928594,943488,1049722,1156591,1232437,1363313,1433268,1550890,1639391,1679769,1776447,1882619,2017584,2162181,2330558,2543822,2774178,2915303,3216312,3063051,2785577,2903952,3323159,3643025,4040387,4485054,3948796,2932360,3935841,4283235,4103226,4780263,5217218
66,,,,,,Tax Revenues,726849,829128,867461,869673,970681,1067850,1124742,1242995,1329261,1441800,1511710,1563334,1631203,1737426,1869572,1992645,2125104,2291763,2475129,2620898,2869088,2883132,2742277,2707024,2880999,3243613,3594023,3831157,3832958,3365355,3376898,3576989,3765900,4159230,4411213
67,,,,,,Non-Tax Revenues (excludes grants from federal government to S&L),43386,56963,61133,73814,79042,88741,107695,120318,104007,109090,127681,116436,145244,145193,148013,169536,205454,252059,299049,294405,347224,179919,43300,196928,442160,399412,446363,653897,115839,-432995,558943,706246,337326,621032,806005
,,data_table,,,Spending By Function,Spending By Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,total_row,,Spending By Function,Total Spending,Spending,843132,963151,1052397,1147884,1216490,1344459,1430943,1494595,1583169,1697454,1859594,1981434,2039470,2092945,2168758,2277423,2342887,2436501,2535185,2640063,2806424,2959223,3189285,3390501,3582440,3829580,4070409,4277105,4653747,5245711,5134912,5300743,5329369,5272690,5385588
69,,,,Spending By Function,Personnel and Compensation,Personnel and Compensation,276668,305790,331984,352539,378513,405690,431710,459927,493286,520333,561060,594091,612093,634997,656055,678142,701490,727540,761173,793278,843121,889781,948420,1003546,1036923,1090723,1146457,1208591,1282018,1329259,1347727,1379679,1392064,1421069,1460217
70,,,,Personnel and Compensation,Past Employees,Past Employees,43988,50732,56499,60610,65232,68833,74189,80292,86862,92621,100266,109589,116686,125292,131191,139630,149167,156595,166315,173444,186235,199941,214975,234192,251458,268927,285351,300571,320786,341841,356467,377529,385291,407975,425242
71,,,,Personnel and Compensation,Present Employees,Present Employees,246734,269937,291585,308886,330775,355664,378021,402075,430503,453510,488165,515551,527956,543836,560490,574786,588916,607159,630685,657607,695535,733325,779773,819521,844725,883695,923153,970432,1021738,1050917,1053156,1064558,1072212,1078930,1102707
72,,,,Personnel and Compensation,Offset for Employee Contributions to Own Retirement/Disability Fund,Offset for Employee Contributions to Own Retirement/Disability Fund,-14054,-14879,-16099,-16957,-17494,-18806,-20500,-22440,-24079,-25798,-27371,-31049,-32549,-34131,-35625,-36273,-36593,-36214,-35827,-37772,-38649,-43485,-46329,-50167,-59260,-61898,-62046,-62411,-60507,-63499,-61896,-62407,-65439,-65836,-67732
73,,,,Spending By Function,Capital Expenditures,Capital Expenditures,103714,115736,123475,135526,149223,170314,187285,202021,205685,217702,229471,239217,238921,231141,221393,230779,234601,245137,250540,273188,298607,322062,354940,356253,380104,394886,408921,464708,510797,549218,550717,526971,515642,493456,475942
74,,,,Capital Expenditures,Defense,Defense,32486,39101,47960,59221,68229,77956,84663,89526,85698,90490,89700,89222,82359,76141,66730,59865,54961,52403,53545,53880,56056,61039,68342,74707,83610,89474,97268,107826,126311,139713,147215,141560,138077,126904,117067
75,,,,Capital Expenditures,Education,Education,23206,24416,23473,24534,26711,30553,33999,36312,39735,41414,43931,47287,48773,48799,53290,55156,56281,58875,62226,67909,74705,81642,88102,89203,92980,95877,100929,109805,115435,118826,124310,118542,121989,120527,121076
76,,,,Capital Expenditures,Transportation,Transportation,10737,11328,10855,10880,11596,13477,15490,17803,18529,21854,25997,27251,30927,31359,29012,35708,40302,44077,49332,54418,60968,65116,71680,70813,74652,81916,87764,91740,98284,101217,93562,86760,84486,80600,80240
77,,,,Capital Expenditures,Other,Other,37285,40892,41187,40890,42687,48328,53132,58380,61723,63943,69842,75456,76862,74842,72361,80050,83056,89782,85437,96981,106878,114265,126817,121530,128861,127619,122960,155337,170767,189462,185630,180110,171091,165426,157558
78,,,,Spending By Function,Transfer Payments to Individuals & Subsidies,Transfer Payments to Individuals & Subsidies,258084,301133,333370,369838,382287,420815,423814,445280,473458,509424,556115,621496,722045,775867,813747,866897,894794,936216,953704,970965,1026415,1102648,1213822,1325083,1386550,1483011,1603472,1687008,1820076,2049786,2235543,2314318,2303991,2394684,2482209
79,,,,Transfer Payments to Individuals,Social Security,Social Security (Retired & Disabled),117065,137882,153917,168513,176053,186432,196547,205104,216808,230137,246349,266482,284918,301643,316676,332985,346820,362058,375830,386686,405867,429181,451886,470191,491263,518106,548880,580811,611349,676858,700050,724151,767069,807249,844342
80,,,,Transfer Payments to Individuals,Medicare,Medicare,33954,41267,49167,55498,60951,69649,74184,79913,85704,94300,107410,114219,129411,143147,159541,177074,191265,207308,210327,208470,215145,236882,252674,273060,295920,331280,372375,426893,445830,488349,510467,548466,537624,567947,584999
81,,,,Transfer Payments to Individuals,Unemployment Benefits,Unemployment Benefits,17139,19006,22570,30464,23808,21312,19281,18102,16090,16057,17511,25451,37701,36209,27145,21919,22958,21145,20094,21736,21139,28341,51207,55049,43128,33085,31876,33208,43424,119766,158263,118609,92282,68260,43504
82,,,,Transfer Payments to Individuals,SSI,SSI,5677,6422,6844,7881,7625,8654,9323,9933,11370,11503,11493,14668,17239,20343,23700,23685,23088,25512,26257,26845,29660,26027,29530,30594,31384,35436,34466,32930,38166,41525,44018,49719,44188,50308,51499
83,,,,Transfer Payments to Individuals,SNAP Benefits,SNAP Benefits,8705,10764,10262,11210,10829,10815,10651,10448,11152,11650,13793,17278,20193,21991,22752,22814,22392,19735,16468,15643,14787,15432,18120,21163,24417,28229,30012,30283,34384,49980,64753,71664,73569,76476,70446
84,,,,Transfer Payments to Individuals,EITC,EITC,1275,1318,1201,1213,1193,1100,1415,1410,2698,4002,4354,4885,7345,8781,10950,15244,19159,21856,23239,25632,26099,26123,27826,31961,33134,34559,36166,38274,40600,42418,54712,55652,54890,57513,60087
85,,,,Transfer Payments to Individuals,Medicaid and CHIP,Medicaid & CHIP,20631,23940,26092,27632,30816,33240,35511,39379,43765,49061,57375,71429,109992,119559,130803,140430,141771,148127,150177,158042,172404,193019,212623,235175,261877,286705,288665,296358,310250,330320,356182,388627,393156,423998,447827
86,,,,Transfer Payments to Individuals,Veterans Benefits,Veterans Benefits,21063,22695,23831,24852,25276,25989,26440,26784,28367,29415,28671,31296,33158,34410,37288,37378,36718,39484,40829,42413,46413,45799,52261,57004,62113,69293,70551,73113,83799,94206,105654,121578,118521,133075,142255
87,,,,Transfer Payments to Individuals,Other,Other,32575,37839,39486,42576,45737,63624,50461,54207,57504,63299,69159,75788,82088,89785,84892,95368,90623,90991,90483,85499,94901,101843,117695,150886,143314,146318,190481,175138,212274,206364,241444,235852,222692,209858,237249
88,,,,Spending By Function,Payments to Others for Goods & Services,Payments to Others for Goods & Services,141461,165406,177328,192908,186061,210999,242333,239534,253069,279570,326657,325379,255016,239655,260071,256610,262957,279609,324843,360213,407370,435299,484646,517359,589507,650489,671333,674858,772999,1072652,750655,813243,859515,701368,686801
89,,,,Spending By Function,Net Interest Paid,Net Interest Paid,53113,68819,83608,92884,118085,134991,144485,151860,157299,171404,184537,197395,208802,212709,218740,245100,252204,254581,250299,241324,232958,210619,190721,183696,200329,216391,252202,251333,272307,232494,256305,297155,294558,295520,302293
90,,,,Spending By Function,Discrepancy Between State and Local Receipts and Federal Government Transfers to State and Local Governments,Discrepancy Between State and Local Receipts and Federal Government Transfers to State and Local Governments,10093,6266,2632,4190,2321,1650,1316,-4027,372,-979,1755,3858,2593,-1424,-1249,-106,-3160,-6584,-5374,1094,-2047,-1185,-3264,4564,-10972,-5920,-11976,-9392,-4449,12301,-6035,-30624,-36402,-33407,-21874
91,,total_row,,Spending By Function,Net Surplus (or Deficit),Net Surplus (or Deficit),-72897,-77060,-123804,-204397,-166768,-187868,-198506,-131282,-149900,-146564,-220203,-301665,-263023,-210326,-151173,-115242,-12329,107321,238993,275240,409888,103828,-403708,-486549,-259281,-186555,-30023,207949,-704951,-2313351,-1199071,-1017508,-1226144,-492428,-168370
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
